,id,cmt,giá,dịch_vụ,ship,hiệu_năng,chính_hãng,cấu_hình,phụ_kiện,other,mẫu_mã
5,18722,"máy tầm 90 % ngoại_hình , áp oke ! máy đẹp ! thử tạm ổn ! tặng shop 5",0,0,0,0,0,0,0,0,1
8,18719,"màn xước , góc_cạnh móp , ipad 4 không đòi_hỏi : )",0,0,0,0,0,-1,0,0,-1
16,18711,"tạm ổn , màn_hình dăm , máy 95 96 %",0,0,0,0,0,-1,0,0,0
28,18699,sản ok . . k chê tks shop không tặng kính cường bùn xíu,0,0,0,0,0,0,0,1,0
30,18697,không mua hàng shop . mua máy sạc 20 phút sập . liên_hệ shop im_re không thèm rep . trừ khách_hàng hoàn hàng khiếu_nại không đổi . trừ mô_tả ghi hoàn_trả 30 .,0,0,0,0,0,0,0,1,0
46,18681,4 loa nghe tuyệt_vời,0,0,0,0,0,1,0,0,0
50,18677,máy shop,0,0,0,0,0,0,0,1,0
54,18673,máy đẹp . mua shop,0,0,0,0,0,0,0,0,1
63,18664,mua giao kèo kỹ_càng hàng màn_hình nứt nhoe ko shop giao hàng ! báo shop chưa liên_lạc !,0,0,0,0,0,0,0,1,0
64,18663,"sản_phẩm tốt nha , mua không tiếc chút .",0,0,0,0,0,0,0,1,0
67,18660,"chất_lượng sản_phẩm tốt , ủng_hộ shop , meme ♥",0,0,0,0,0,0,0,1,0
87,18640,điện_thoại cũ trầy góc . mua công_nhân scan hàng tạm .,0,0,0,0,0,0,0,1,0
88,18639,"máy ổn oke , pin hơi .",0,0,0,0,0,-1,0,0,0
90,18637,nghe gọi không mong . sản_phẩm oke,0,0,0,0,0,0,0,1,0
103,18624,hàng đẹp đúng mẫu . mua shop 2 hài_lòng sản_phẩm shop .,0,0,0,0,0,0,0,0,1
112,18615,￼ sản_phẩm tốt . hiệu_năng hiệu_ứng cảnh đẹp . test chưa lỗi mua chủ_yếu game game ngon . tốt . perfect,0,0,0,0,0,0,0,1,0
118,18609,đt kn ngon nyc,0,0,0,0,0,0,0,1,0
119,18608,"máy oke dự_kiến 2 , tội shop bọc chống sốc chưa kỹ , shop 5",0,0,-1,0,0,0,0,0,0
122,18605,", ok , không , hài_lòng sản_phẩm , shop .",0,0,0,0,0,0,0,1,0
132,18595,"máy ổn , ngoại_hình đẹp . nhìu ap rác mạng",0,0,0,0,0,0,0,0,1
136,18591,hàng oke shop uy_tín mua,0,0,0,0,0,0,0,1,0
140,18587,máy đẹp ok,0,0,0,0,0,0,0,0,1
145,18582,"máy_đẹp , mua ông_bà , hộp máy cáp sạc , không tai_nghe ốp",0,0,0,0,0,0,0,0,1
149,18578,lg v40 đẹp 99.9 shop uy_tín,0,0,0,0,0,0,0,0,1
153,18574,hàng đẹp . máy ổn nhe shop !,0,0,0,0,0,0,0,0,1
157,18570,hộp đựng ốp lưng không hề ốp lưng,0,0,0,0,0,0,-1,0,0
171,18556,màn chấm tầm thằng giao hàng hôi thank shop,0,0,0,0,0,-1,0,0,0
174,18553,trầy mặt,0,0,0,0,0,0,0,0,-1
177,18550,sản_phẩm tốt không tai_nghe .,0,0,0,0,0,0,-1,0,0
181,18546,màn_hình thay cảm_ứng tạm ổn,0,0,0,0,0,0,0,1,0
182,18545,tốt tầm giá,0,0,0,0,0,0,0,1,0
192,18535,"điện_thoại 1 tắt , tiếp tắt , chất_lượng không_thể diễn_tả",0,0,0,0,0,0,0,1,0
212,18515,điện_thoại đẹp nha mua kính đẹp vỏ xấu,0,0,0,0,0,0,0,0,1
214,18513,"máy_đẹp , pin cầm , ngon , tặng bao da sạc . máy cũ ngon lắm , in tờ hướng_dẫn mem ipad .",0,0,0,0,0,1,1,0,1
221,18449,máy_ngon tầm giá . pin trâu . youtube 3 không pin . loa to nghe nhạc ngon .,1,0,0,0,0,1,0,0,0
222,18448,hàng tốt đầy_đủ phụ_kiện máy,0,0,0,0,0,0,1,0,1
226,18444,"điện_thoại ful hộp siêu đẹp , shop lắm , ủng_hộ tiếp",0,0,0,0,0,0,0,0,1
227,18443,"sản_phẩm , thử phản_hồi sản_phẩm như",0,0,0,0,0,0,0,1,0
235,18435,"tuyệt_vời . shop giao hàng quảng_cáo , test hài_lòng . cảm_ứng mượt . cam chụp đẹp . nghe gọi tốt to . giá_cả hợp_lý . chất_lượng giá ok . giới_thiệu . shop .",1,0,0,0,0,1,0,0,0
241,18429,"máy ổn_định ngoại_hình xấu , nứt góc kính . tiền",0,0,0,0,0,0,0,0,-1
