,index,word,_score,_pvalue
0,2183,đẹp,873.1773833617067,2.4657006045277866e-190
1,2041,xước,510.92297108848675,1.133669569694543e-111
2,1782,trầy,295.4218466584288,7.078823456234963e-65
3,417,chức_năng,222.51785289419124,4.795812347928709e-49
4,1101,máy,203.43755755930732,6.669536752243825e-45
5,659,góc,196.06678843194112,2.6585072545543324e-43
6,1290,như,189.12488665377828,8.55170414985799e-42
7,1097,màu_sắc,180.52306153201226,6.3083424368975425e-40
8,1975,vết,178.60283324799457,1.6477356346812064e-39
9,1501,rực_rỡ,165.70134074116942,1.0433043930421048e-36
10,486,cảm_ứng,164.55424369746703,1.851398869537646e-36
11,489,cấn,157.71428571428572,5.659499142916336e-35
12,1093,màn_hình,156.14176423854053,1.2423578208321636e-34
13,490,cấu_hình,148.31874584237693,6.208598261094668e-33
14,732,hài_lòng,147.5824589099131,8.97173081881774e-33
15,724,hoạt_động,142.47528534666577,1.1531475567706274e-31
16,2156,đúng,139.65084269253737,4.733744491399246e-31
17,1458,quảng_cáo,138.56785899839696,8.135265554699381e-31
18,1294,nhạy,127.26202843160709,2.3195388352962567e-28
19,1156,mạnh_mẽ,126.27928135828509,3.7914249500169116e-28
20,469,cũ,124.89085254502815,7.59094683498238e-28
21,2252,ổn_định,124.45938680016378,9.418625865071717e-28
22,720,hoàn_thiện,114.01138392018589,1.7488096644517257e-25
23,783,hẹn,110.91439672033891,8.227062002977113e-25
24,2044,xấu,110.39641649491757,1.0659154254810402e-24
25,1011,lắm,93.76580406149348,4.355262665913276e-21
26,1000,lướt,93.52052557211323,4.9235221908190184e-21
27,1993,web,92.18620246171994,9.594458785832735e-21
28,2211,đồng_tiền,92.00146307968762,1.0522916608422671e-20
29,565,dăm,86.09401447945346,2.0180052573584093e-19
30,1136,móp,83.73225905478378,6.573111020311161e-19
31,1457,quảng_bá,83.3123617492565,8.108686482086828e-19
32,1916,uy_tín,80.62360480347633,3.110331375599579e-18
33,1992,vừa_ý,77.42638657802912,1.538415963431615e-17
34,254,bạn_bè,77.30838192997876,1.631917356580301e-17
35,1307,nhẹ,76.69037988738202,2.2227754932852755e-17
36,643,giới_thiệu,75.87405599397033,3.343167075532974e-17
37,2254,ủng_hộ,75.80286262840741,3.4643161944765415e-17
38,1122,máy_đẹp,75.43571303516356,4.162392642227911e-17
39,2256,ứng_dụng,74.04347630192959,8.349556552220319e-17
40,764,hơi,73.60617905371655,1.0390137657288031e-16
41,412,chụp,71.76212698136948,2.6124748676855674e-16
42,1168,mặt,71.22506599594395,3.4172238782380405e-16
43,1530,shop,70.33819655877996,5.324203955602106e-16
44,1239,người_thân,69.07837327279825,9.995898426490945e-16
45,1334,nét,68.85012853332475,1.120429538440743e-15
46,173,an_tâm,68.67731212399308,1.2215497419567249e-15
47,1379,phim,64.31846497874088,1.0799975931255608e-14
48,602,game,62.26387373296645,3.0169742809584504e-14
49,1280,nhân_viên,61.602031651520115,4.2003820110143414e-14
50,1155,mạnh,60.45676996390269,7.446963161545463e-14
51,1767,tróc,59.14285714285714,1.4364540874023506e-13
52,304,camera,58.001894884911565,2.541256811845996e-13
53,150,99,57.8407056184358,2.754548098876597e-13
54,619,giao,56.9996460033797,4.1945380188205225e-13
55,1151,mượt,56.07668663237155,6.654297541197372e-13
56,277,bề_ngoài,53.33568489124044,2.6200114036673665e-12
57,752,hình_thức,53.08885457585366,2.9641604177041026e-12
58,231,bát,51.25510869261847,7.414716708139891e-12
59,666,gạo,51.25510869261847,7.414716708139891e-12
60,1981,vỏ,50.43519237523519,1.11721595398466e-11
61,385,chất_lượng,50.035421146435475,1.3644145693516673e-11
62,476,cạnh,49.920288926712914,1.4452633579259054e-11
63,447,cáp,48.79114255559652,2.541780310455706e-11
64,1085,mong_đợi,47.26536254984356,5.450758362147532e-11
65,340,chuẩn,46.57894166530855,7.682654997981029e-11
66,492,cầm,46.44010136372735,8.234933934493485e-11
67,1582,sạc,46.080574582621985,9.856673432553436e-11
68,1592,sắt,45.946562054240246,1.0539762354149397e-10
69,735,hàng,44.75152163102328,1.915713454659492e-10
70,1154,mạng,44.733118499203954,1.9334223681948925e-10
71,2107,đeo,43.25925925925926,4.03990549878986e-10
72,2249,ốp,43.08058066989186,4.4174411141580593e-10
73,1567,sâu,43.04700723972673,4.4922213406714585e-10
74,514,củ,43.04700723972673,4.4922213406714585e-10
75,2089,êm_ái,42.78440754637057,5.122523336238393e-10
76,996,lưng,42.04465505238761,7.415136646041407e-10
77,1222,ngoại_hình,41.19829433207095,1.1321502163250638e-09
78,1763,trâu,40.81122145753229,1.3739023318297128e-09
79,2079,áp_suất,40.51185661035769,1.5957399254453543e-09
80,84,4gb,39.42857142857143,2.7428022661917792e-09
81,2035,xí,39.42857142857143,2.7428022661917792e-09
82,1578,sơn,39.42857142857143,2.7428022661917792e-09
