,index,word,_score,_pvalue
0,486,cảm_ứng,677.4804214765552,7.708957965743979e-148
1,1093,màn_hình,637.7475224547683,3.272540841009989e-139
2,1097,màu_sắc,546.4507948288931,2.1863394292794727e-119
3,417,chức_năng,535.293863109041,5.7864809478461966e-117
4,1294,nhạy,531.0595030911898,4.8072213809196887e-116
5,1501,rực_rỡ,510.37921261760175,1.4878602493284062e-111
6,1424,pin,499.5565771989941,3.331712835789518e-109
7,1458,quảng_cáo,466.926276233582,4.057395919136399e-102
8,490,cấu_hình,453.1199026127591,4.038902109759581e-99
9,2156,đúng,434.5267239093394,4.4027171295062856e-95
10,1334,nét,421.624523884374,2.78867511330902e-92
11,724,hoạt_động,415.5597924476834,5.785456327058135e-91
12,1000,lướt,414.95305990995945,7.835882518836806e-91
13,412,chụp,397.5647823041773,4.67632216310517e-87
14,2256,ứng_dụng,371.8294558312499,1.8124229869633897e-81
15,1290,như,350.42670016043144,8.050241414227225e-77
16,2252,ổn_định,345.11392021173737,1.146738548829101e-75
17,749,hình,339.47954323144927,1.9184647673201704e-74
18,1156,mạnh_mẽ,333.4681528662421,3.8753475745631734e-73
19,2183,đẹp,325.70252060349065,1.881898863414114e-71
20,1993,web,304.6509733328996,7.012642308227317e-67
21,732,hài_lòng,294.33950657486,1.2161530804989677e-64
22,304,camera,281.4476725838639,7.663275273012696e-62
23,1592,sắt,266.18949044586,1.576473153571305e-58
24,1992,vừa_ý,256.7899770101668,1.732866030154041e-56
25,602,game,251.82125517159238,2.0783047323639605e-55
26,1011,lắm,224.49527241707813,1.7843127876134878e-49
27,1763,trâu,193.97395627166867,7.569907612198016e-43
28,1151,mượt,191.34176092576683,2.8226987838902166e-42
29,1916,uy_tín,189.9408833761779,5.686711956970371e-42
30,1379,phim,186.0347539284171,4.0092806995082424e-41
31,783,hẹn,176.56424998972358,4.566256085804493e-39
32,1085,mong_đợi,166.48234331723634,7.0602240219881005e-37
33,643,giới_thiệu,165.1545996831398,1.3713059119504458e-36
34,1618,test,164.28355764984113,2.119721098811377e-36
35,471,cơ_bản,164.12372785436781,2.2960710442626924e-36
36,378,chạy,159.27112993056397,2.598445260687959e-35
37,1155,mạnh,156.63776154920566,9.694875822331122e-35
38,764,hơi,155.29920914443005,1.8932379979135882e-34
39,2254,ủng_hộ,153.9316699415652,3.7511339877949227e-34
40,254,bạn_bè,148.66726246635346,5.215718400990343e-33
41,1239,người_thân,148.47859517886386,5.73169030499977e-33
42,340,chuẩn,145.02235992185035,3.2269680587133326e-32
43,958,loa,139.52695999980995,5.036230486518184e-31
44,619,giao,135.67468341421034,3.456342962028383e-30
45,2089,êm_ái,135.5935089259299,3.599512166075699e-30
46,2087,êm,135.32022889010807,4.126536126496749e-30
47,173,an_tâm,128.84929814775825,1.0488911200173921e-28
48,385,chất_lượng,128.13075271063138,1.502313492864904e-28
49,1894,tụt,127.975946748126,1.623215777971561e-28
50,2061,yếu,120.92800596390346,5.5057584139521645e-27
51,2211,đồng_tiền,116.70079426022735,4.55768713552486e-26
52,1530,shop,113.97455980100192,1.781307106570873e-25
53,719,hoàn_hảo,110.77826800136238,8.80652852412128e-25
54,1883,tốt,110.48063381057895,1.0219630398197397e-24
55,1764,trâu_bò,99.45541401273886,2.532393845798732e-22
56,1154,mạng,98.6221799810178,3.8411893890009056e-22
57,1280,nhân_viên,98.54301622449009,3.996280020870072e-22
58,1101,máy,96.63209855375624,1.0389781437009445e-21
59,909,kém,94.31191972110838,3.314567316923913e-21
60,720,hoàn_thiện,93.91947706744696,4.03315286674564e-21
61,1098,màu_sắc_đẹp,93.55484659644989,4.8397528464905625e-21
62,2190,đều,91.6535589758372,1.2522255046100749e-20
63,178,anh_em,87.41160472431366,1.0442661654648288e-19
64,1590,sắc,84.82961783439492,3.797366688070665e-19
65,316,chai,84.08540045624534,5.509184115363934e-19
66,394,chế_độ,83.06896345473142,9.15806616941058e-19
67,864,khách_hàng,82.80648738008274,1.0442385753997427e-18
68,1585,sản_phẩm,81.92471099665725,1.6228375247855866e-18
69,735,hàng,80.23504156541551,3.777305373180739e-18
70,1582,sạc,80.04069976114278,4.162774476036009e-18
71,1422,phục_vụ,78.14317301673675,1.0750423676069524e-17
72,1092,màn,77.76305660712212,1.3000702186276264e-17
73,1491,rõ_ràng,74.35308627137078,7.152081585776554e-17
74,1338,nóng,72.94977521091941,1.4426387218621304e-16
75,1152,mượt_mà,72.4530948381889,1.8493127226759046e-16
76,779,hậu_mãi,70.41330615216972,5.127962525746218e-16
77,2072,ám,65.66783128634383,5.500619662156657e-15
78,871,không,65.55042642545632,5.833185109756653e-15
79,1581,sướng,65.49627112539588,5.993291930555054e-15
80,1486,rè,64.96832785049347,7.80381307227044e-15
81,1049,mau,64.38647823779193,1.043887978087319e-14
82,270,bật,64.08521563204262,1.2135907000284723e-14
83,277,bề_ngoài,63.64403928139399,1.513116848075335e-14
84,1386,phong_cách,62.90816985659981,2.1860721039123055e-14
85,2236,ảnh,60.891353421183425,5.9925353798156e-14
86,625,giá_cả,58.19732260846992,2.3046870673351356e-13
87,1210,nghe,56.58194007501305,5.1687773511653e-13
88,1227,nguyên,54.806603365144895,1.2557329592215513e-12
89,1457,quảng_bá,54.34765760005909,1.5796326435115744e-12
90,1060,mic,53.69047619047618,2.1941243130109755e-12
91,1408,phản_quang,53.69047619047618,2.1941243130109755e-12
92,383,chấp_nhận,52.598514486037516,3.787718552911835e-12
93,1950,vui_vẻ,49.294171994096445,1.976544317840109e-11
94,387,chậm,48.56726837731502,2.8428351153534874e-11
95,338,chuyên_nghiệp,48.47909990584971,2.970962784088282e-11
96,814,hợp_lý,48.30168554899798,3.246551150533408e-11
97,380,chảnh,48.01403424980853,3.7487366805243016e-11
98,492,cầm,47.79811818540128,4.176096381745344e-11
99,766,hư,46.78400818926296,6.933965892016561e-11
100,2081,âm_thanh,46.77310097971126,6.97188430355586e-11
101,686,hao,43.56292336467497,3.4708143436860077e-10
102,2143,đêm,43.56292336467497,3.4708143436860077e-10
103,1811,tuột,43.16123989034254,4.242832059227084e-10
104,262,bấm,43.16123989034254,4.242832059227084e-10
105,954,liệt,42.95238095238095,4.709870692124035e-10
106,1441,quay_phim,40.95222929936306,1.2803726741885313e-09
107,1990,vừa_lòng,40.95222929936306,1.2803726741885313e-09
108,150,99,40.91883840805691,1.3019285080121785e-09
109,2161,đơn,40.67465957147918,1.4709905997332749e-09
110,231,bát,40.301700210226315,1.7725438741881387e-09
111,666,gạo,40.301700210226315,1.7725438741881387e-09
112,1951,vàng,36.97105727197585,9.372100096427366e-09
113,1737,to,36.48259722635066,1.1964778678391515e-08
114,1873,tệ,35.787516358725426,1.693711990887509e-08
115,1820,tâm,33.67952841387039,4.85940759775708e-08
116,924,kết_cấu,33.49049780126427,5.3411011699804103e-08
117,2150,đóng_gói,32.957670758885044,6.971604258564498e-08
118,1403,phím,32.86491643983961,7.302542126438839e-08
119,1996,wifi,32.64190873638828,8.163935756190737e-08
120,1158,mất,32.40857002776532,9.174204893438222e-08
121,798,hỏng,32.3860376971932,9.27814741955637e-08
122,220,buồn,32.3860376971932,9.27814741955637e-08
123,2105,đem,32.35361945202709,9.429763510762706e-08
124,1761,trái,32.21428571428572,1.0110129952521922e-07
125,947,liên,32.21428571428572,1.0110129952521922e-07
126,1292,nhược_điểm,32.21428571428572,1.0110129952521922e-07
127,1977,vệt,32.21428571428572,1.0110129952521922e-07
128,1964,vạch,32.21428571428572,1.0110129952521922e-07
